"","municipio","low_cost","max(precio_gasoleo_a)","min(precio_gasoleo_a)","mean(precio_gasoleo_a)","max(precio_gasolina_95_e5_premium)","min(precio_gasolina_95_e5_premium)","mean(precio_gasolina_95_e5_premium)"
"1","Abadín","low_cost",1.429,1.429,1.429,NA,NA,NA
"2","Abadín","no_low_cost",1.409,1.409,1.409,NA,NA,NA
"3","Abadiño","low_cost",1.359,1.315,1.337,NA,NA,NA
"4","Abanilla","low_cost",1.319,1.299,1.309,NA,NA,NA
"5","Abanilla","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"6","Abanto y Ciérvana-Abanto Zierbena","low_cost",1.459,1.449,1.45566666666667,NA,NA,NA
"7","Abanto y Ciérvana-Abanto Zierbena","no_low_cost",1.449,1.449,1.449,NA,NA,NA
"8","Abarán","low_cost",1.379,1.359,1.369,NA,NA,NA
"9","Abarán","no_low_cost",1.359,1.359,1.359,NA,NA,NA
"10","Abegondo","low_cost",1.278,1.278,1.278,NA,NA,NA
"11","Abegondo","no_low_cost",1.415,1.415,1.415,NA,NA,NA
"12","Abejar","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"13","Abengibre","low_cost",1.349,1.349,1.349,NA,NA,NA
"14","Abenójar","no_low_cost",1.419,1.419,1.419,NA,NA,NA
"15","Abla","no_low_cost",1.389,1.389,1.389,NA,NA,NA
"16","Ablitas","low_cost",1.299,1.299,1.299,NA,NA,NA
"17","Abrera","low_cost",NA,NA,NA,NA,NA,NA
"18","Abrera","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"19","Acedera","low_cost",1.237,1.237,1.237,NA,NA,NA
"20","Aceuchal","low_cost",1.223,1.223,1.223,NA,NA,NA
"21","Aceuchal","no_low_cost",1.419,1.419,1.419,NA,NA,NA
"22","Adamuz","low_cost",1.239,1.239,1.239,NA,NA,NA
"23","Adamuz","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"24","Adanero","no_low_cost",1.389,1.389,1.389,1.579,1.579,1.579
"25","Adeje","low_cost",1.161,0.989,1.10055555555556,NA,NA,NA
"26","Adeje","no_low_cost",1.134,1.108,1.12033333333333,NA,NA,NA
"27","Ademuz","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"28","Adra","low_cost",1.232,1.231,1.2315,NA,NA,NA
"29","Adra","no_low_cost",1.389,1.389,1.389,NA,NA,NA
"30","Adrada (La)","low_cost",1.399,1.399,1.399,NA,NA,NA
"31","Adrada (La)","no_low_cost",1.425,1.425,1.425,NA,NA,NA
"32","Agaete","low_cost",1.099,1.099,1.099,NA,NA,NA
"33","Àger","low_cost",1.318,1.318,1.318,NA,NA,NA
"34","Agolada","no_low_cost",1.389,1.379,1.384,NA,NA,NA
"35","Agón","no_low_cost",1.389,1.389,1.389,NA,NA,NA
"36","Agoncillo","low_cost",1.299,1.21,1.2748,NA,NA,NA
"37","Agoncillo","no_low_cost",1.419,1.419,1.419,NA,NA,NA
"38","Agost","low_cost",1.429,1.399,1.414,NA,NA,NA
"39","Agost","no_low_cost",1.449,1.439,1.444,NA,NA,NA
"40","Agramunt","low_cost",1.189,1.189,1.189,NA,NA,NA
"41","Agramunt","no_low_cost",1.369,1.369,1.369,NA,NA,NA
"42","Ágreda","low_cost",NA,NA,NA,NA,NA,NA
"43","Ágreda","no_low_cost",1.389,1.389,1.389,NA,NA,NA
"44","Aguadulce","low_cost",NA,NA,NA,NA,NA,NA
"45","Aguadulce","no_low_cost",1.399,1.379,1.389,NA,NA,NA
"46","Aguarón","low_cost",1.32,1.32,1.32,NA,NA,NA
"47","Aguaviva","low_cost",1.389,1.389,1.389,1.589,1.589,1.589
"48","Agudo","low_cost",1.349,1.349,1.349,NA,NA,NA
"49","Aguilar de Campoo","low_cost",1.309,1.309,1.309,NA,NA,NA
"50","Aguilar de Campoo","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"51","Aguilar de la Frontera","low_cost",1.369,1.279,1.324,NA,NA,NA
"52","Aguilar de la Frontera","no_low_cost",1.389,1.25,1.33933333333333,NA,NA,NA
"53","Águilas","low_cost",1.374,1.217,1.303625,NA,NA,NA
"54","Águilas","no_low_cost",1.379,1.379,1.379,1.554,1.554,1.554
"55","Agüimes","low_cost",1.095,0.919,1.02514285714286,NA,NA,NA
"56","Agüimes","no_low_cost",1.075,0.989,1.03766666666667,NA,NA,NA
"57","Agullent","low_cost",1.269,1.269,1.269,NA,NA,NA
"58","Ahigal","no_low_cost",1.429,1.429,1.429,NA,NA,NA
"59","Aia","low_cost",1.299,1.299,1.299,NA,NA,NA
"60","Aibar/Oibar","low_cost",1.379,1.379,1.379,NA,NA,NA
"61","Aielo de Malferit","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"62","Aiguaviva","no_low_cost",NA,NA,NA,NA,NA,NA
"63","Aínsa-Sobrarbe","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"64","Ajalvir","no_low_cost",1.439,1.439,1.439,NA,NA,NA
"65","Ajofrín","no_low_cost",1.359,1.359,1.359,NA,NA,NA
"66","Alaejos","low_cost",1.399,1.399,1.399,NA,NA,NA
"67","Alagón","low_cost",1.232,1.229,1.2305,NA,NA,NA
"68","Alagón","no_low_cost",1.389,1.379,1.38566666666667,NA,NA,NA
"69","Alaior","no_low_cost",1.489,1.479,1.48566666666667,NA,NA,NA
"70","Alajeró","low_cost",1.319,1.319,1.319,NA,NA,NA
"71","Alameda","low_cost",1.349,1.255,1.302,NA,NA,NA
"72","Alameda de la Sagra","no_low_cost",1.459,1.459,1.459,NA,NA,NA
"73","Alamillo","low_cost",1.379,1.379,1.379,NA,NA,NA
"74","Álamo (El)","low_cost",1.429,1.28,1.33625,NA,NA,NA
"75","Alamús (Els)","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"76","Alange","low_cost",1.329,1.329,1.329,NA,NA,NA
"77","Alanís","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"78","Alaquàs","low_cost",NA,NA,NA,NA,NA,NA
"79","Alaquàs","no_low_cost",1.369,1.359,1.364,NA,NA,NA
"80","Alar del Rey","low_cost",1.389,1.389,1.389,NA,NA,NA
"81","Alar del Rey","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"82","Alaró","no_low_cost",1.449,1.449,1.449,1.609,1.609,1.609
